node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 3</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/389,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2b2,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/note/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 31</idno></msIdentifier>, from fol. 143b to the end.</bibl>",http://syriaca.org/manuscript/389,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier>CDATA</bibl>,p2b4,structure-9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[4]/listBibl/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 4</idno></msIdentifier>.</bibl>",http://syriaca.org/manuscript/389,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier>CDATA</bibl>,p2b5,structure-9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[5]/listBibl/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 6</idno></msIdentifier>.</bibl>",http://syriaca.org/manuscript/389,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier>CDATA</bibl>,p2b6,structure-9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[6]/listBibl/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 23</idno></msIdentifier>.</bibl>",http://syriaca.org/manuscript/389,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier>CDATA</bibl>,p2b8,structure-9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[8]/listBibl/bibl
"<bibl >Add. 12,138, foll. 74 a, 303 b<ptr target='http://syriaca.org/manuscript/10'></ptr></bibl>",http://syriaca.org/manuscript/104,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,a1,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl[1]
<bibl >Add. 7150<ptr target=''></ptr></bibl>,http://syriaca.org/manuscript/104,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,a1,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl[2]
"<bibl ><note >See<bibl >Add. 17,235</bibl>.</note></bibl>",http://syriaca.org/manuscript/573,<bibl ><note >CDATA<bibl >CDATA</bibl>CDATA</note></bibl>,a1,structure-33,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/bibl
"<bibl >Add. 17,235</bibl>",http://syriaca.org/manuscript/573,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/bibl/note/bibl
"<bibl >Add. 14,620<ptr target='http://syriaca.org/manuscript/360'></ptr>, no.<citedRange unit=''>6</citedRange></bibl>",http://syriaca.org/manuscript/777,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a2,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/note[1]/bibl
