node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 12,173, no. 1, b, fol. 58 b</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[7]/msItem[1]/note/bibl
"<bibl >Add. 14,582, fol. 190 b</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[1]
"<bibl >Add. 14,597, fol. 156 a</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[2]
"<bibl >Add. 12,150, fol. 1</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a11,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[12]/note/bibl
"<bibl >Add. 14,658, no. 1</bibl>",http://syriaca.org/manuscript/429,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[2]/bibl[1]
"<bibl ><ptr target='http://syriaca.org/manuscript/420'></ptr>Add. 14,652,<citedRange unit='pp' from='1b' to='1b'>fol. 1b</citedRange></bibl>",http://syriaca.org/manuscript/119,<bibl ><ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE' from='VALUE' to='VALUE'>CDATA</citedRange></bibl>,a1,structure-2,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl[1]
"<bibl >Add 14,707<ptr target='http://syriaca.org/manuscript/573'></ptr></bibl>",http://syriaca.org/manuscript/1020,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote[1]/desc/bibl
"<bibl >Add. 14,578</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl
"<bibl >Add. 14,578, no. 1</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[1]/note/bibl
"<bibl >Add. 14,578, no. 9</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note/bibl
"<bibl >Add. 14,578, no. 4</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[4]/note/bibl
"<bibl >Add. 14,578, no. 13</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[5]/note/bibl
"<bibl >Add. 14,578, no. 5</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b6,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[6]/note/bibl
"<bibl >Add. 14,578, no. 23</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[7]/note/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,643</idno><altIdentifier ><idno type='URL'>http://syriaca,org/manuscript/407</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,p1a1,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/listBibl/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,509</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/203</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,p3a1,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/note/listBibl/bibl
"<bibl >Add. 14,509<ptr target='http://syriaca.org/manuscript/203'></ptr></bibl>",http://syriaca.org/manuscript/911,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/p/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,509</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/203</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/objectDesc/supportDesc/condition/list/item/p[2]/listBibl/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 17,156</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/785</idno></altIdentifier></msIdentifier>,<biblScope ><locus from='16'>fol. 16</locus></biblScope>.</bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier>CDATA<biblScope ><locus from='VALUE'>CDATA</locus></biblScope>CDATA</bibl>,p4a1,structure-5,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/note/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/42'>Add. 12, 163, fol. 128b</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/341,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,b2,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/listBibl/bibl
"<bibl >Add. 14,669, foll. 1-18<ptr target='http://syriaca.org/manuscript/497'></ptr></bibl>",http://syriaca.org/manuscript/496,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msPart/physDesc/p[1]/bibl
"<bibl >Add. 14,669, foll. 1-18<ptr target='http://syriaca.org/manuscript/497'></ptr></bibl>",http://syriaca.org/manuscript/496,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msPart/physDesc/objectDesc/supportDesc/condition/list/item/p[1]/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/311 '>Add. 14,575,</idno></msIdentifier><citedRange >items 1—6</citedRange></bibl>",http://syriaca.org/manuscript/61,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier><citedRange >CDATA</citedRange></bibl>,p1a1,structure-7,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/bibl
"<bibl >Add. 14,649, fol. 103 b</bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA</bibl>,p3a2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[2]/note[1]/bibl
"<bibl >Add. 12,172, foll. 28 and 31<ptr target='http://syriaca.org/manuscript/1492'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 12,172, foll. 25-54<ptr target='http://syriaca.org/manuscript/64'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/p/bibl
"<bibl >Add. 12,172, foll. 25-54<ptr target='http://syriaca.org/manuscript/64'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[1]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add.<choice ><sic >21,154</sic><corr resp='http://syriaca.org/documentation/editors.xml#jarnwine'>12,154</corr></choice><ptr target='http://syriaca.org/manuscript/29'></ptr>, fol.<citedRange unit='locus'>264b</citedRange>seqq., and<citedRange unit='locus'>291a</citedRange></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<choice ><sic >CDATA</sic><corr resp='VALUE'>CDATA</corr></choice><ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p6_2a1,structure-8,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/msContents/msItem/note/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/physDesc/p/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/622'>Add. 14,727, fol. 120a</idno></msIdentifier>.</bibl>",http://syriaca.org/manuscript/1085,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier>CDATA</bibl>,p3a3,structure-9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/listBibl/bibl
"<bibl >See<msIdentifier ><idno ref='http://syriaca.org/manuscript/614'>Add. 14,725, fol. 4b</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/1085,<bibl >CDATA<msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p5b2,structure-10,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[5]/msContents/msItem/msItem[2]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/1079'>Add. 17,263, foll. 65a and 148a</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/1085,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[5]/physDesc/additions/list/item[2]/p[1]/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/70'>Add. 12,174, no. 72</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/1085,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p6b1,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msContents/msItem/msItem[1]/note/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/70'>Add. 12,174, no. 54</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/1085,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p6b2,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msContents/msItem/msItem[2]/note/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/70'>Add. 12,174, no. 70</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/1085,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p6b3,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msContents/msItem/msItem[3]/note/bibl
"<bibl >Add. 14,533<ptr target='http://syriaca.org/manuscript/260'></ptr>, foll.<citedRange unit='locus'>39 b</citedRange>, seqq.</bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA</bibl>,b3,structure-11,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[4]/note[1]/bibl
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, foll.<citedRange unit='locus'>36 a</citedRange>, seqq.</bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA</bibl>,b4,structure-11,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/note[1]/bibl[1]
"<bibl >Add. 14,533<ptr target='http://syriaca.org/manuscript/260'></ptr>, foll.<citedRange unit='locus'>52 a</citedRange>, seqq.</bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA</bibl>,b4,structure-11,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/note[1]/bibl[2]
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, fol.<citedRange unit='locus'>207 b</citedRange></bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,d1,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[7]/msItem[1]/msItem[1]/note/bibl[1]
"<bibl >Add. 14,533<ptr target='http://syriaca.org/manuscript/260'></ptr>, fol.<citedRange unit='locus'>133 b</citedRange></bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,d1,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[7]/msItem[1]/msItem[1]/note/bibl[2]
"<bibl >Add. 14,533<ptr target='http://syriaca.org/manuscript/260'></ptr>, fol.<citedRange unit='locus'>102 a</citedRange></bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,c18,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[9]/msItem[5]/note/bibl
"<bibl >Add. 14,533<ptr target='http://syriaca.org/manuscript/260'></ptr>, foll.<citedRange unit='locus'>107 a</citedRange>, seqq.</bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA</bibl>,b9,structure-11,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[10]/note/bibl
"<bibl >Add. 14,526<ptr target='http://syriaca.org/manuscript/249'></ptr></bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,b26,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[27]/note/bibl[1]
"<bibl >Add. 14,629<ptr target='http://syriaca.org/manuscript/372'></ptr>, fol.<citedRange unit='locus'>21 b</citedRange></bibl>",http://syriaca.org/manuscript/30,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b48,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[49]/note/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/409'>Add. 14,645, no. 3</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/26,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,b3,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[3]/listBibl/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>5</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b8,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[10]/msItem[4]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>4</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b9,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[10]/msItem[5]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>8</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b10,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[10]/msItem[6]/note/bibl
"<bibl >Add. 14,575<ptr target='http://syriaca.org/manuscript/311'></ptr>, no.<citedRange unit=''>21</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b11,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[10]/msItem[7]/note/bibl
"<bibl >Add. 17,170<ptr target='http://syriaca.org/manuscript/820'></ptr>, no.<citedRange unit=''>10</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b12,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[12]/msItem[1]/note/bibl
"<bibl >Add. 17,170<ptr target='http://syriaca.org/manuscript/820'></ptr>, no.<citedRange unit=''>7</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a14,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[14]/note/bibl
"<bibl >Add. 17,163<ptr target='http://syriaca.org/manuscript/809'></ptr>, fol.<citedRange unit='locus'>27</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b14,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[15]/msItem[1]/note/bibl
"<bibl >Add. 17,206<ptr target='http://syriaca.org/manuscript/1434'></ptr>, fol.<citedRange unit='locus'>54 a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b15,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[15]/msItem[2]/note/bibl
"<bibl >Add. 14,587<ptr target='http://syriaca.org/manuscript/323'></ptr>, no.<citedRange unit=''>1</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b16,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[15]/msItem[3]/note/bibl
"<bibl >Add. 14,729<ptr target='http://syriaca.org/manuscript/634'></ptr>, fol.<citedRange unit='locus'>207 a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b18,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[16]/msItem[1]/note/bibl
"<bibl >Add. 14,728<ptr target='http://syriaca.org/manuscript/628'></ptr>, fol.<citedRange unit='locus'>239a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b19,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[16]/msItem[2]/note/bibl
"<bibl >Add. 14,729<ptr target='http://syriaca.org/manuscript/630'></ptr>, fol.<citedRange unit='locus'>70 a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b20,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[16]/msItem[3]/note/bibl
"<bibl >Add. 14,729<ptr target='http://syriaca.org/manuscript/634'></ptr>, fol.<citedRange unit='locus'>221 a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b21,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[16]/msItem[4]/note/bibl
"<bibl >Add. 17,170<ptr target='http://syriaca.org/manuscript/820'></ptr>, no.<citedRange unit=''>12</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a18,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[18]/note/bibl
"<bibl >Add. 14,633<ptr target='http://syriaca.org/manuscript/383'></ptr>, no.<citedRange unit=''>32</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b25,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[20]/msItem[4]/note[1]/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>3</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b32,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[1]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>18</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b33,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[2]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>37</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b34,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[3]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>12</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b35,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[4]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>27</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b36,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[5]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>28</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b37,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[6]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>26</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b38,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[7]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>15</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b39,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[8]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>16</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b40,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[9]/note/bibl
"<bibl >Add. 14,578<ptr target='http://syriaca.org/manuscript/314'></ptr>, no.<citedRange unit=''>25</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b41,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[23]/msItem[10]/note/bibl
"<bibl >Add. 12,175<ptr target='http://syriaca.org/manuscript/74'></ptr>, fol.<citedRange unit='locus'>221a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a24,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[24]/note[2]/bibl
"<bibl >Add. 18,817<ptr target='http://syriaca.org/manuscript/1413'></ptr>, fol.<citedRange unit='locus'>112 a</citedRange></bibl>",http://syriaca.org/manuscript/1078,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b42,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[31]/msItem[1]/note/bibl
"<bibl >Add. 17,190</bibl>",http://syriaca.org/manuscript/209,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl
