Deprecated Syriaca URI,CBSS URI
http://syriaca.org/bibl/1412,http://syriaca.org/cbss/EFZUNKA2
https://zotero.org/groups/392292/items/VTEQR5GV,http://syriaca.org/cbss/EFZUNKA2
https://www.zotero.org/groups/4861694/7NEKBHN9,http://syriaca.org/cbss/U4H7Q7X8
https://www.zotero.org/groups/4861694/BP9MW52B,http://syriaca.org/cbss/G4XI4JFB
https://www.zotero.org/groups/4861694/X9NBYPIQ,http://syriaca.org/cbss/YG85YYY5
http://syriaca.org/bibl/207,http://syriaca.org/cbss/IDDTQYTF
http://syriaca.org/bibl/328,http://syriaca.org/cbss/WET8RZBV
http://syriaca.org/bibl/364,http://syriaca.org/cbss/ZGM7HK4T
http://syriaca.org/bibl/365,http://syriaca.org/cbss/E9J6HCHX
http://syriaca.org/bibl/484,http://syriaca.org/cbss/WB6KSF6Y
http://syriaca.org/bibl/1807,http://syriaca.org/cbss/TFHKES2Q
https://zotero.org/groups/392292/items/SWAR7BHN,http://syriaca.org/cbss/TFHKES2Q
http://syriaca.org/bibl/587,http://syriaca.org/cbss/WS8DABWS
http://syriaca.org/bibl/592,http://syriaca.org/cbss/XBNILLCM
http://syriaca.org/bibl/621,http://syriaca.org/cbss/SAMH57WS
https://zotero.org/groups/392292/items/P77GHBXK,http://syriaca.org/cbss/6RARENNM
https://www.zotero.org/groups/4861694/ZCJ8C7L8,http://syriaca.org/cbss/L4ILF9XX
http://syriaca.org/bibl/1418,http://syriaca.org/cbss/G7YNFIFS
https://zotero.org/groups/392292/items/WQBJGZUU,http://syriaca.org/cbss/G7YNFIFS
http://syriaca.org/bibl/902,http://syriaca.org/cbss/57JVD433
https://www.zotero.org/groups/4861694/JBFRLDLX,http://syriaca.org/cbss/FV2DK3CR
https://www.zotero.org/groups/4861694/D37N29FB,http://syriaca.org/cbss/WR4H99YU
http://syriaca.org/bibl/1393,http://syriaca.org/cbss/F494S549
https://zotero.org/groups/392292/items/Q8QIXVX7,http://syriaca.org/cbss/F494S549
https://www.zotero.org/groups/4861694/K5VEAEPZ,http://syriaca.org/cbss/ZDBDZ2W3
https://www.zotero.org/groups/4861694/KFVP3C5U,http://syriaca.org/cbss/WP9VEYKM
https://zotero.org/groups/392292/items/XNTSGHMR,http://syriaca.org/cbss/GSXTB22K
https://zotero.org/groups/392292/items/XBZDRCKN,http://syriaca.org/cbss/6GKLDY5E
https://zotero.org/groups/392292/items/DNEZE959,http://syriaca.org/cbss/7R2T4QN6
http://syriaca.org/bibl/708,http://syriaca.org/cbss/GMXSEKT4
http://syriaca.org/bibl/1352,http://syriaca.org/cbss/K2JJ4UMA
https://zotero.org/groups/392292/items/G4FAP9KQ,http://syriaca.org/cbss/K2JJ4UMA
http://syriaca.org/bibl/2286,http://syriaca.org/cbss/CWURJL7X
https://zotero.org/groups/392292/items/JIRAXU7R,http://syriaca.org/cbss/CWURJL7X
http://syriaca.org/bibl/2062,http://syriaca.org/cbss/VEIJZATP
https://zotero.org/groups/392292/items/5RKUF2WR,http://syriaca.org/cbss/VEIJZATP
http://syriaca.org/bibl/2077,http://syriaca.org/cbss/I8EFEMIY
https://zotero.org/groups/392292/items/BH45SWNT,http://syriaca.org/cbss/I8EFEMIY
https://www.zotero.org/groups/4861694/UETGMBH3,http://syriaca.org/cbss/BV56M3YH
http://syriaca.org/bibl/984,http://syriaca.org/cbss/WUE2YQW6
https://www.zotero.org/groups/4861694/44YLU5LR,http://syriaca.org/cbss/HQS6948F
https://zotero.org/groups/392292/items/G3FF2X4Q,http://syriaca.org/cbss/LWL4XR4Z
http://syriaca.org/bibl/2292,http://syriaca.org/cbss/DFKSAHMZ
https://zotero.org/groups/392292/items/9ENGDFX8,http://syriaca.org/cbss/DFKSAHMZ
https://zotero.org/groups/392292/items/8TU3SR72,http://syriaca.org/cbss/SW7CSNLD
https://zotero.org/groups/392292/items/PIRHGVEF,http://syriaca.org/cbss/WMADLJWW
http://syriaca.org/bibl/2034,http://syriaca.org/cbss/BCPWSWWA
https://zotero.org/groups/392292/items/345NH2QH,http://syriaca.org/cbss/BCPWSWWA
http://syriaca.org/bibl/2039,http://syriaca.org/cbss/A36E42J5
https://zotero.org/groups/392292/items/5TEGZ5PR,http://syriaca.org/cbss/A36E42J5
http://syriaca.org/bibl/1700,http://syriaca.org/cbss/NHBYRKL9
http://syriaca.org/bibl/7,http://syriaca.org/cbss/NHBYRKL9
http://syriaca.org/bibl/1209,http://syriaca.org/cbss/8RDQK4BB
http://syriaca.org/bibl/7,http://syriaca.org/cbss/8RDQK4BB
http://syriaca.org/bibl/709,http://syriaca.org/cbss/Y4UYWAUR
http://syriaca.org/bibl/7,http://syriaca.org/cbss/Y4UYWAUR
http://syriaca.org/bibl/1810,http://syriaca.org/cbss/IFBTU5TR
https://zotero.org/groups/392292/items/VIM9ISVF,http://syriaca.org/cbss/IFBTU5TR
http://syriaca.org/bibl/2037,http://syriaca.org/cbss/EW2ECK97
https://zotero.org/groups/392292/items/KQRXBZ4Q,http://syriaca.org/cbss/EW2ECK97
https://zotero.org/groups/392292/items/FQ34U4RC,http://syriaca.org/cbss/3DU6PDRJ
https://www.zotero.org/groups/4861694/XMN9GYJB,http://syriaca.org/cbss/TVWGYCTZ
http://syriaca.org/bibl/195,http://syriaca.org/cbss/AFLFCXMR
http://syriaca.org/bibl/222,http://syriaca.org/cbss/9YD94LI7
http://syriaca.org/bibl/449,http://syriaca.org/cbss/A5U5PU93
http://syriaca.org/bibl/1039,http://syriaca.org/cbss/VGELIH5F
https://www.zotero.org/groups/4861694/7XVFHPPM,http://syriaca.org/cbss/HRV3LQ39
http://syriaca.org/bibl/2413,http://syriaca.org/cbss/447WUEUJ
https://zotero.org/groups/392292/items/F84PHXJ9,http://syriaca.org/cbss/447WUEUJ
http://syriaca.org/bibl/2416,http://syriaca.org/cbss/EGHTSVDS
https://zotero.org/groups/392292/items/IC5RCQHA,http://syriaca.org/cbss/EGHTSVDS
http://syriaca.org/bibl/2412,http://syriaca.org/cbss/AE9FVKWP
https://zotero.org/groups/392292/items/VIZZ2ZGC,http://syriaca.org/cbss/AE9FVKWP
http://syriaca.org/bibl/2414,http://syriaca.org/cbss/V5D6HEP2
https://zotero.org/groups/392292/items/X3XZHZR5,http://syriaca.org/cbss/V5D6HEP2
https://www.zotero.org/groups/4861694/JJ25EQFF,http://syriaca.org/cbss/Y6GX34CM
https://www.zotero.org/groups/4861694/BVGLIG9P,http://syriaca.org/cbss/KB34SB2V
https://zotero.org/groups/392292/items/H8T62INF,http://syriaca.org/cbss/DNL32JRX
https://www.zotero.org/groups/4861694/8Q4ECME7,http://syriaca.org/cbss/2SU2PCKP
https://www.zotero.org/groups/4861694/YQY9EKDA,http://syriaca.org/cbss/UIJPPUKZ
http://syriaca.org/bibl/6,http://syriaca.org/cbss/PGCV3FX7
https://www.zotero.org/groups/4861694/833B4LXP,http://syriaca.org/cbss/ED9XRN5Z
http://syriaca.org/bibl/2183,http://syriaca.org/cbss/QXWGI64X
http://syriaca.org/bibl/835,http://syriaca.org/cbss/QXWGI64X
https://zotero.org/groups/392292/items/ZKZ6FQRW,http://syriaca.org/cbss/QXWGI64X
http://syriaca.org/bibl/1386,http://syriaca.org/cbss/CHUBUKRM
https://zotero.org/groups/392292/items/P6STDISP,http://syriaca.org/cbss/CHUBUKRM
http://syriaca.org/bibl/1401,http://syriaca.org/cbss/8DFM2JTV
https://zotero.org/groups/392292/items/SCM8EH8Z,http://syriaca.org/cbss/8DFM2JTV
http://syriaca.org/bibl/1411,http://syriaca.org/cbss/DLYI6BKH
https://zotero.org/groups/392292/items/VN2HHJ9Q,http://syriaca.org/cbss/DLYI6BKH
http://syriaca.org/bibl/3,http://syriaca.org/cbss/SGBVKKGH
https://www.zotero.org/groups/4861694/4R4T3TKF,http://syriaca.org/cbss/8PF85ADJ
http://syriaca.org/bibl/2,http://syriaca.org/cbss/T3RMVYM7
http://syriaca.org/bibl/2423,http://syriaca.org/cbss/MQ7XZCAE
https://zotero.org/groups/392292/items/DK7K7PGD,http://syriaca.org/cbss/MQ7XZCAE
http://syriaca.org/bibl/1384,http://syriaca.org/cbss/85KRUCDX
https://zotero.org/groups/392292/items/NT9HU5DH,http://syriaca.org/cbss/85KRUCDX
https://www.zotero.org/groups/4861694/IC8N5DK6,http://syriaca.org/cbss/MMIY3N9M
http://syriaca.org/bibl/1399,http://syriaca.org/cbss/PK56RBH7
https://zotero.org/groups/392292/items/RTFKFDVQ,http://syriaca.org/cbss/PK56RBH7
http://syriaca.org/bibl/1381,http://syriaca.org/cbss/FTSU3K7N
https://zotero.org/groups/392292/items/NCINR4J9,http://syriaca.org/cbss/FTSU3K7N
https://www.zotero.org/groups/4861694/XTF5UTZH,http://syriaca.org/cbss/CX5XB462
https://www.zotero.org/groups/4861694/ZTTUBHLK,http://syriaca.org/cbss/LFN6EHUA
https://www.zotero.org/groups/4861694/V3HXWJIN,http://syriaca.org/cbss/PPR62H32
https://www.zotero.org/groups/4861694/LCA2MI5T,http://syriaca.org/cbss/BHHVULF5
https://www.zotero.org/groups/4861694/8L3YKW3N,http://syriaca.org/cbss/8WLGJP5Z
https://www.zotero.org/groups/4861694/LLVSQK5M,http://syriaca.org/cbss/2BHGB2YL
http://syriaca.org/bibl/86,http://syriaca.org/cbss/ZTY3EGHG
http://syriaca.org/bibl/88,http://syriaca.org/cbss/YBUBII75
https://www.zotero.org/groups/4861694/LRLGMR7Z,http://syriaca.org/cbss/VCED6VI7
http://syriaca.org/bibl/193,http://syriaca.org/cbss/E66JTMPF
http://syriaca.org/bibl/410,http://syriaca.org/cbss/GPV2WN86
https://www.zotero.org/groups/4861694/6WLDVUBB,http://syriaca.org/cbss/232U8S25
http://syriaca.org/bibl/570,http://syriaca.org/cbss/67MZDFHG
http://syriaca.org/bibl/2542,http://syriaca.org/cbss/98N2SPMY
https://zotero.org/groups/392292/items/36IJB4GS,http://syriaca.org/cbss/98N2SPMY
http://syriaca.org/bibl/2084,http://syriaca.org/cbss/PZXIK4UC
https://zotero.org/groups/392292/items/G9UUZHNB,http://syriaca.org/cbss/PZXIK4UC
http://syriaca.org/bibl/1783,http://syriaca.org/cbss/7CJ9SPCF
https://zotero.org/groups/392292/items/B49RT5HI,http://syriaca.org/cbss/7CJ9SPCF
http://syriaca.org/bibl/2541,http://syriaca.org/cbss/SIPGUP9S
https://zotero.org/groups/392292/items/B78BAAFC,http://syriaca.org/cbss/SIPGUP9S
http://syriaca.org/bibl/2085,http://syriaca.org/cbss/Z4RQM5R7
https://zotero.org/groups/392292/items/746N4BSH,http://syriaca.org/cbss/Z4RQM5R7
http://syriaca.org/bibl/1815,http://syriaca.org/cbss/8J7PA4GJ
https://zotero.org/groups/392292/items/XZU4B7J5,http://syriaca.org/cbss/8J7PA4GJ
http://syriaca.org/bibl/1801,http://syriaca.org/cbss/YN3NJHST
https://zotero.org/groups/392292/items/N48INWFN,http://syriaca.org/cbss/YN3NJHST
