uri,shelfmark,hmml_project_number,country,city,holding_institution,repository,collection,support,hmml_genres,locus,height_cm,width_cm,layout,date_after,date_before
https://w3id.org/vhmml/readingRoom/view/500745,3,EMYMQ 00003,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-11v,,,"1 column, 17 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500747,5,EMYMQ 00005,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Prayer books,fol. 1r-326v,,,"2 columns, 23 lines per page",1729,1729
https://w3id.org/vhmml/readingRoom/view/500748,6,EMYMQ 00006,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Lectionaries,fol. 1r-53v,,,"2 columns, 22 lines per page",1865,1865
https://w3id.org/vhmml/readingRoom/view/500749,7,EMYMQ 00007,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-114v,,,"1 column, 15 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500750,8,EMYMQ 00008,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-207v,,,"1 column, 13 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500751,9,EMYMQ 00009,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Lectionaries,fol. 1r-164v,,,"2 columns, 25 lines per page",1932,1932
https://w3id.org/vhmml/readingRoom/view/500752,11,EMYMQ 00011,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-40v,,,"2 columns, 21 lines per page",1980,1980
https://w3id.org/vhmml/readingRoom/view/500753,10,EMYMQ 00010,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-32v,,,"2 columns, 27 lines per page",1980,1980
https://w3id.org/vhmml/readingRoom/view/500754,12,EMYMQ 00012,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),fol. 1r-30v,,,"1 column, 11 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500757,EMYMQ 00015,EMYMQ 00015,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),,16.0,21.2,"1 column, 10-13 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500758,EMYMQ 00016,EMYMQ 00016,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Liturgical books (Eastern Christian),,21.0,16.5,"1 column, 8-11 lines per page",1945,2011
https://w3id.org/vhmml/readingRoom/view/500759,EMYMQ 00017,EMYMQ 00017,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Lectionaries | Bibles,,,,"1 column, 22-26 lines per page",1600,1900
https://w3id.org/vhmml/readingRoom/view/500760,EMYMQ 00018,EMYMQ 00018,Iraq,Qarah Qūsh,,Church of John the Baptist,EMYMQ,PAPER,Fragments | Liturgical books (Eastern Christian),,,,,1700,2000
https://w3id.org/vhmml/readingRoom/view/500780,MS 105,ZFRN 00105,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 18 lines per page",1850,1950
https://w3id.org/vhmml/readingRoom/view/500786,MS 85,ZFRN 00085,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per page",1943,1943
https://w3id.org/vhmml/readingRoom/view/500787,MS 86,ZFRN 00086,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 19 lines per page",1839,1839
https://w3id.org/vhmml/readingRoom/view/500789,MS 88,ZFRN 00088,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1873,1873
